id,time,summary,windSpeed,temperature,uvIndex,visibility
1,1579284620,Clear,16.05,21.01,1,10.0
2,1579333046,Mostly Cloudy,4.84,46.42,0,10.0
3,1579333163,Mostly Cloudy,4.85,46.4,0,10.0
4,1579334422,Possible Light Rain,3.72,40.17,0,10.0
5,1579353360,Overcast,9.75,25.8,0,10.0
6,1579353426,Overcast,9.76,25.79,0,10.0
7,1579353441,Clear,10.31,-11.59,3,10.0
8,1579353533,Clear,1.86,90.76,2,10.0
9,1579353552,Humid and Mostly Cloudy,16.8,83.82,3,10.0
10,1579353695,Overcast,9.8,25.77,0,10.0
11,1579353782,Overcast,9.81,25.76,0,10.0
12,1579353790,Clear,10.21,-11.58,3,10.0
13,1579354569,Mostly Cloudy,10.1,25.45,0,10.0
14,1579354665,Humid and Mostly Cloudy,14.78,82.74,1,10.0
15,1579355187,Mostly Cloudy,10.2,25.38,0,10.0
16,1579426988,Mostly Cloudy,10.09,25.95,0,10.0
17,1579429128,Humid and Overcast,16.21,82.53,6,10.0
